MeasureItem	Year	Month	Value	ProvidedValue	AVG_Value	FromCountryMapCode	ToCountryMapCode	MeasureTime	Direction	Flag	FromCountryMemberType	ToCountryMemberType	CreatedDateTime	UpdatedDateTime
Physical Energy & Power Flows	2025	3	90	90	90	AL	XK	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	18	18	18	AL	XK	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	88	88	88	AL	XK	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	12	12	12	AL	XK	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	75	75	75	AL	XK	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	11	11	11	AL	XK	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	21	21	21	AL	XK	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	65	65	65	AL	XK	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	11	11	11	AL	XK	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	97	97	97	AL	XK	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	3	3	3	AL	XK	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	75	75	75	AL	XK	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	5	5	5	AL	XK	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	57	57	57	AL	XK	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	1	0	0	0	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	2	46	46	46	AM	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	2	0	0	0	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	18	18	18	AM	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	0	0	0	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	0	0	0	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	0	0	0	AM	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	14	14	14	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	0	0	0	AM	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	6	33	33	33	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	0	0	0	AM	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	7	0	0	0	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	14	14	14	AM	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	8	0	0	0	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	22	22	22	AM	GE	Monthly Value	Export	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	9	0	0	0	AM	GE	Monthly Value	Import	Harmonized	NaM	NaM	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	1	250	250	250	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	1	103	103	103	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	2	245	245	245	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	2	119	119	119	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	337	337	337	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	3	68	68	68	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	212	212	212	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	4	185	185	185	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	124	124	124	AT	CH	Monthly Value	Export	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
Physical Energy & Power Flows	2025	5	347	347	347	AT	CH	Monthly Value	Import	Harmonized	M	M	2025-12-08 11:18:16	2025-12-08 11:18:16
